catapult,beam_width,avg_latency_us,p50_latency_us,p95_latency_us
off,1,363.67350680303576,335.0554962158203,746.1258575439444
off,2,503.47360230998993,466.1105041503906,971.6570831298826
off,4,676.8831791780472,628.0704956054688,1246.8665954589833
off,8,908.9968786577224,855.093994140625,1590.1757690429686
off,16,1279.1341637807843,1193.8795166015625,2154.0727905273434
on,1,246.60122333033874,198.43883260091147,622.104473876953
on,2,351.94064308236443,302.51866658528644,810.6779744466143
on,4,480.1512220497131,432.0348358154297,1011.584412638346
on,8,692.8117269196828,631.6641642252604,1369.1087463378901
on,16,1032.1694809805551,939.3793436686198,1918.4608215332028
