label,num_threads,beam_width,qps
catapult,4,1,58186.22047193602
catapult,4,2,34996.150530445164
catapult,4,4,22048.485012329766
catapult,4,8,13289.152159847663
catapult,4,16,7964.261486985818
catapult,8,1,108369.17612701708
catapult,8,2,66167.94468115753
catapult,8,4,41216.67175531537
catapult,8,8,25072.858233802195
catapult,8,16,14975.616096723292
catapult,12,1,145182.05113251373
catapult,12,2,93540.59633570758
catapult,12,4,57349.10673686196
catapult,12,8,33367.732727554154
catapult,12,16,20399.90616414759
catapult,16,1,169918.4917724765
catapult,16,2,109171.36730108641
catapult,16,4,68319.38936608091
catapult,16,8,40832.15386506031
catapult,16,16,24310.268649100228
lshapg,4,1,65599.51493391626
lshapg,4,2,35148.903774095306
lshapg,4,4,20509.31191560772
lshapg,4,8,12235.710007937689
lshapg,4,16,7252.320032358199
lshapg,8,1,128483.69189125887
lshapg,8,2,67741.91657505692
lshapg,8,4,39255.11113141768
lshapg,8,8,22702.677214306477
lshapg,8,16,13144.950890317405
lshapg,12,1,168681.42806340664
lshapg,12,2,91847.6471973742
lshapg,12,4,49808.141932208324
lshapg,12,8,29530.890057202556
lshapg,12,16,18117.91758563174
lshapg,16,1,195157.99493828535
lshapg,16,2,106936.02229579777
lshapg,16,4,60818.649283808314
lshapg,16,8,36381.187916748735
lshapg,16,16,21250.571452073233
vanilla,4,1,78045.46816985313
vanilla,4,2,40357.05426422861
vanilla,4,4,21566.401359520914
vanilla,4,8,13282.543501300912
vanilla,4,16,7710.675930559136
vanilla,8,1,142903.3465891262
vanilla,8,2,76405.24607371014
vanilla,8,4,42607.960756571614
vanilla,8,8,24518.182874207327
vanilla,8,16,14555.063658815268
vanilla,12,1,197920.5678476797
vanilla,12,2,105864.30977403819
vanilla,12,4,58866.13448694904
vanilla,12,8,34219.375404871425
vanilla,12,16,19553.079433020222
vanilla,16,1,214017.55411991416
vanilla,16,2,113837.52775729762
vanilla,16,4,62404.14963598493
vanilla,16,8,37184.354299773695
vanilla,16,16,22931.723006881337
