label,num_threads,beam_width,avg_dists_computed
catapult,4,1,116.39832222222223
catapult,4,2,174.19248888888887
catapult,4,4,273.74458
catapult,4,8,447.41558000000003
catapult,4,16,754.7093822222223
catapult,8,1,116.34555333333333
catapult,8,2,174.32857777777778
catapult,8,4,273.8020133333333
catapult,8,8,447.8248444444444
catapult,8,16,754.7986311111111
catapult,12,1,116.35688444444445
catapult,12,2,174.27636888888887
catapult,12,4,273.62209333333334
catapult,12,8,447.66891111111113
catapult,12,16,754.1470355555556
catapult,16,1,116.47903111111111
catapult,16,2,174.26852666666665
catapult,16,4,273.3098044444444
catapult,16,8,447.6244466666667
catapult,16,16,754.2667333333334
lshapg,4,1,129.4284088888889
lshapg,4,2,198.1641377777778
lshapg,4,4,311.0751422222222
lshapg,4,8,504.26479555555557
lshapg,4,16,844.4123777777777
lshapg,8,1,129.4284088888889
lshapg,8,2,198.1641377777778
lshapg,8,4,311.0751422222222
lshapg,8,8,504.26479555555557
lshapg,8,16,844.4123777777777
lshapg,12,1,129.4284088888889
lshapg,12,2,198.1641377777778
lshapg,12,4,311.0751422222222
lshapg,12,8,504.26479555555557
lshapg,12,16,844.4123777777777
lshapg,16,1,129.4284088888889
lshapg,16,2,198.1641377777778
lshapg,16,4,311.0751422222222
lshapg,16,8,504.26479555555557
lshapg,16,16,844.4123777777777
vanilla,4,1,133.52264
vanilla,4,2,203.34559333333334
vanilla,4,4,314.60894666666667
vanilla,4,8,497.6479
vanilla,4,16,814.6950266666666
vanilla,8,1,133.52264
vanilla,8,2,203.34559333333334
vanilla,8,4,314.60894666666667
vanilla,8,8,497.6479
vanilla,8,16,814.6950266666666
vanilla,12,1,133.52264
vanilla,12,2,203.34559333333334
vanilla,12,4,314.60894666666667
vanilla,12,8,497.6479
vanilla,12,16,814.6950266666666
vanilla,16,1,133.52264
vanilla,16,2,203.34559333333334
vanilla,16,4,314.60894666666667
vanilla,16,8,497.6479
vanilla,16,16,814.6950266666666
