label,num_threads,beam_width,speedup
catapult,4,1,0.7455425899336433
catapult,4,2,0.8671631556980312
catapult,4,4,1.022353458269292
catapult,4,8,1.0004975446567221
catapult,4,16,1.0328875910115307
catapult,8,1,0.7583389662566735
catapult,8,2,0.8660131088030734
catapult,8,4,0.9673467357613059
catapult,8,8,1.0226230207369231
catapult,8,16,1.0288938920341524
catapult,12,1,0.7335369573325311
catapult,12,2,0.8835895358441865
catapult,12,4,0.9742291936899065
catapult,12,8,0.9751122670346568
catapult,12,16,1.0433091234569063
catapult,16,1,0.7939465174771181
catapult,16,2,0.959010349678715
catapult,16,4,1.094789204958335
catapult,16,8,1.0981003874876702
catapult,16,16,1.0601152229950281
lshapg,4,1,0.8405294563823962
lshapg,4,2,0.8709482001328906
lshapg,4,4,0.9509844305365984
lshapg,4,8,0.9211872716049683
lshapg,4,16,0.9405556786034321
lshapg,8,1,0.8990950524110082
lshapg,8,2,0.8866134206243447
lshapg,8,4,0.9213093148411988
lshapg,8,8,0.9259526829857065
lshapg,8,16,0.9031187494914301
lshapg,12,1,0.852268310958083
lshapg,12,2,0.8675978466531183
lshapg,12,4,0.8461255757034815
lshapg,12,8,0.8629874072160468
lshapg,12,16,0.9266017482154317
lshapg,16,1,0.9118784472648361
lshapg,16,2,0.9393740746354409
lshapg,16,4,0.9745930300881409
lshapg,16,8,0.9784004214097689
lshapg,16,16,0.926688825157027
