mode,num_threads,beam_width,avg_recall
catapult,4,1,0.024991111111111113
catapult,4,2,0.05212666666666666
catapult,4,4,0.10103944444444445
catapult,4,8,0.18252777777777776
catapult,4,16,0.30771777777777776
catapult,8,1,0.02478
catapult,8,2,0.05153111111111111
catapult,8,4,0.10099555555555556
catapult,8,8,0.18313194444444444
catapult,8,16,0.3079091666666667
catapult,12,1,0.02486888888888889
catapult,12,2,0.05160222222222222
catapult,12,4,0.10085555555555555
catapult,12,8,0.18213749999999998
catapult,12,16,0.30777319444444445
catapult,16,1,0.024631111111111114
catapult,16,2,0.05195444444444444
catapult,16,4,0.10105388888888889
catapult,16,8,0.18294916666666663
catapult,16,16,0.30815944444444443
lshapg,4,1,2.222222222222222e-06
lshapg,4,2,2e-05
lshapg,4,4,2.7222222222222223e-05
lshapg,4,8,6.25e-05
lshapg,4,16,0.00013277777777777778
lshapg,8,1,2.222222222222222e-06
lshapg,8,2,2e-05
lshapg,8,4,2.7222222222222223e-05
lshapg,8,8,6.25e-05
lshapg,8,16,0.00013277777777777778
lshapg,12,1,2.222222222222222e-06
lshapg,12,2,2e-05
lshapg,12,4,2.7222222222222223e-05
lshapg,12,8,6.25e-05
lshapg,12,16,0.00013277777777777778
lshapg,16,1,2.222222222222222e-06
lshapg,16,2,2e-05
lshapg,16,4,2.7222222222222223e-05
lshapg,16,8,6.25e-05
lshapg,16,16,0.00013277777777777778
vanilla,4,1,0.024179999999999997
vanilla,4,2,0.06110000000000001
vanilla,4,4,0.13145166666666666
vanilla,4,8,0.24753833333333333
vanilla,4,16,0.42407958333333334
vanilla,8,1,0.024179999999999997
vanilla,8,2,0.06110000000000001
vanilla,8,4,0.13145166666666666
vanilla,8,8,0.24753833333333333
vanilla,8,16,0.42407958333333334
vanilla,12,1,0.024179999999999997
vanilla,12,2,0.06110000000000001
vanilla,12,4,0.13145166666666666
vanilla,12,8,0.24753833333333333
vanilla,12,16,0.42407958333333334
vanilla,16,1,0.024179999999999997
vanilla,16,2,0.06110000000000001
vanilla,16,4,0.13145166666666666
vanilla,16,8,0.24753833333333333
vanilla,16,16,0.42407958333333334
