label,beam_width,catapult_usage_pct,qps_rel_pct,avg_dists_computed_rel_pct,avg_nodes_visited_rel_pct,avg_recall_rel_pct
catapult,1,98.12272222222222,-23.895420879569574,-12.827556601803417,-38.95537506283109,2.637625218270384
catapult,2,97.95288888888889,-9.685453917094499,-14.300335847509615,-31.010100512982035,-15.21503909801783
catapult,4,97.84644444444444,1.881427532323789,-13.028658060483506,-23.513407592054246,-23.176241373043744
catapult,8,97.73644444444444,3.0744541263469127,-10.050168893397204,-16.476593858617136,-26.19866395552653
catapult,16,97.6241111111111,4.477970804275271,-7.391057897760783,-11.198971461821202,-27.398085658057504
lshapg,1,,-11.844818173596295,-3.0663197725203006,-4.299145598876172,-99.99080966822902
lshapg,2,,-10.339778927781937,-2.5481031925102338,-4.732329023759257,-99.96726677577742
lshapg,4,,-8.117479949559478,-1.1232371113045874,-4.59014334779579,-99.97929107868121
lshapg,8,,-7.649862637314237,1.329633975257521,-3.7142122019770296,-99.97475138530733
lshapg,16,,-7.698440681224879,3.6476657078293333,-3.1761472165761564,-99.96869036308371
